name;ts;value
becks;1562098080.0;4.0
becks;1562108880.0;4.0
becks;1562119680.0;4.0
becks;1562130480.0;4.0
becks;1562141280.0;4.0
becks;1562152080.0;4.0
becks;1562162880.0;4.0
becks;1562173680.0;4.0
becks;1562184480.0;4.0
becks;1562195280.0;4.0
becks;1562206080.0;4.0
becks;1562216880.0;4.0
becks;1562227680.0;4.0
becks;1562238480.0;4.0
becks;1562249280.0;4.0
becks;1562260080.0;4.0
becks;1562270880.0;4.0
becks;1562281680.0;4.0
becks;1562292480.0;4.0
becks;1562303280.0;4.0
becks;1562314080.0;4.0
becks;1562324880.0;4.0
becks;1562335680.0;4.0
becks;1562346480.0;4.0
becks;1562357280.0;4.0
becks;1562368080.0;4.0
becks;1562378880.0;4.0
becks;1562389680.0;4.0
becks;1562400480.0;4.0
becks;1562411280.0;4.0
becks;1562422080.0;4.0
becks;1562432880.0;4.0
becks;1562443680.0;4.0
becks;1562454480.0;-1.0
becks;1562465280.0;-1.0
becks;1562476080.0;-1.0
becks;1562486880.0;-1.0
becks;1562497680.0;-1.0
becks;1562508480.0;-1.0
becks;1562519280.0;4.0
becks;1562530080.0;4.0
becks;1562540880.0;4.0
becks;1562551680.0;4.0
becks;1562562480.0;4.0
becks;1562573280.0;4.0
becks;1562584080.0;4.0
becks;1562594880.0;4.0
becks;1562605680.0;4.0
becks;1562616480.0;4.0
becks;1562627280.0;4.0
becks;1562638080.0;4.0
becks;1562648880.0;4.0
becks;1562659680.0;4.0
becks;1562670480.0;4.0
becks;1562681280.0;4.0
becks;1562692080.0;4.0
becks;1562702880.0;4.0
becks;1562713680.0;4.0
becks;1562724480.0;4.0
becks;1562735280.0;-1.0
becks;1562746080.0;-1.0
becks;1562756880.0;4.0
becks;1562767680.0;4.0
becks;1562778480.0;4.0
becks;1562789280.0;4.0
becks;1562800080.0;4.0
becks;1562810880.0;4.0
becks;1562821680.0;4.0
becks;1562832480.0;4.0
becks;1562843280.0;4.0
becks;1562854080.0;4.0
becks;1562864880.0;4.0
becks;1562875680.0;4.0
becks;1562886480.0;4.0
becks;1562897280.0;4.0
becks;1562908080.0;4.0
becks;1562918880.0;4.0
becks;1562929680.0;4.0
becks;1562940480.0;4.0
becks;1562951280.0;4.0
becks;1562962080.0;4.0
becks;1562972880.0;4.0
becks;1562983680.0;4.0
becks;1562994480.0;4.0
becks;1563005280.0;4.0
becks;1563016080.0;4.0
becks;1563026880.0;4.0
becks;1563037680.0;4.0
becks;1563048480.0;4.0
becks;1563059280.0;4.0
becks;1563070080.0;4.0
becks;1563080880.0;4.0
becks;1563091680.0;4.0
becks;1563102480.0;4.0
becks;1563113280.0;4.0
becks;1563124080.0;4.0
becks;1563134880.0;4.0
becks;1563145680.0;4.0
becks;1563156480.0;4.0
becks;1563167280.0;4.0
becks;1563178080.0;4.0
becks;1563188880.0;4.0
becks;1563199680.0;4.0
becks;1563210480.0;4.0
becks;1563221280.0;4.0
becks;1563232080.0;4.0
becks;1563242880.0;4.0
becks;1563253680.0;4.0
becks;1563264480.0;4.0
becks;1563275280.0;4.0
becks;1563286080.0;4.0
becks;1563296880.0;4.0
becks;1563307680.0;4.0
becks;1563318480.0;4.0
becks;1563329280.0;4.0
becks;1563340080.0;4.0
becks;1563350880.0;4.0
becks;1563361680.0;4.0
becks;1563372480.0;4.0
becks;1563383280.0;4.0
becks;1563394080.0;4.0
becks;1563404880.0;4.0
becks;1563415680.0;4.0
becks;1563426480.0;4.0
becks;1563437280.0;4.0
becks;1563448080.0;4.0
becks;1563458880.0;4.0
becks;1563469680.0;4.0
becks;1563480480.0;4.0
becks;1563491280.0;4.0
becks;1563502080.0;4.0
becks;1563512880.0;4.0
becks;1563523680.0;4.0
becks;1563534480.0;4.0
becks;1563545280.0;4.0
becks;1563556080.0;4.0
becks;1563566880.0;4.0
becks;1563577680.0;4.0
